Afghanistan,8974784,8674283
Albania,1029685,1074829
Algeria,13080704,12687632
AmericanSamoa,19373,18881
Andorra,31229,28954
Angola,5185300,5090964
Anguilla,5136,5872
AntiguaandBarbuda,29071,33301
Argentina,13686944,13709943
Armenia,1031997,1121661
Aruba,37254,40135
Australia,7639666,7425182
Austria,2771206,2754759
Azerbaijan,3384093,3497870
The Bahamas,111034,113562
Bahrain,647777,371458
Bangladesh,49455187,54767946
Barbados,101363,104434
Belarus,3279965,3487819
Belgium,3446750,3389400
Belize,105263,102709
Benin,2717129,2711302
Bermuda,22794,23376
Bhutan,257964,231407
Bolivia,3223368,3339196
BosniaandHerzegovina,1414384,1415067
Botswana,695857,663605
Brazil,68971520,70232491
Brunei,148735,154582
Bulgaria,2266267,2334956
BurkinaFaso,4794894,4788520
Burma,18930639,19170340
Burundi,2676129,2714001
CaboVerde,167798,178370
Cambodia,4802234,5161183
Cameroon,6260628,6216744
Canada,11847521,11575300
CaymanIslands,18825,19885
CentralAfricanRepublic,1464437,1483280
Chad,2773003,3196621
Chile,5981915,6061468
China,510644482,482671349
Colombia,15555024,15872141
Comoros,199997,220765
Congo(Brazzaville),1310239,1295985
Congo(Kinshasa),20939724,21111267
CookIslands,3463,3249
CostaRica,1661841,1643985
Coted'Ivoire,6774160,6549405
Croatia,1502339,1526247
Cuba,3940241,3916609
Curacao,46995,50452
Cyprus,447085,410040
CzechRepublic,3641421,3540031
Denmark,1802936,1797261
Djibouti,225763,288804
Dominica,25385,24097
DominicanRepublic,3429778,3292840
Ecuador,4991038,5126552
Egypt,27743689,26908980
ElSalvador,1880038,2102648
EquatorialGuinea,197617,201093
Eritrea,1743283,1799332
Estonia,394080,433852
Ethiopia,25407282,25787750
FaroeIslands,16935,15005
Fiji,304402,291546
Finland,1716293,1677001
France,20881936,20846888
FrenchPolynesia,99558,94017
Gabon,451617,452983
The Gambia,547713,568509
GazaStrip,503972,480676
Georgia,1605055,1705466
Germany,26947280,26427727
Ghana,7231362,7539854
Gibraltar,9514,9413
Greece,3529828,3547260
Greenland,21452,19110
Grenada,37054,35710
Guam,53877,51633
Guatemala,4239490,4496148
Guernsey,22213,21903
Guinea,3122331,3115293
Guinea-Bissau,469118,495357
Guyana,246379,236591
Haiti,3075890,3114760
Honduras,2646956,2612638
HongKong,2364381,2841145
Hungary,3307148,3372346
Iceland,106978,105069
India,420524743,391811018
Indonesia,85826003,84795631
Iran,29232760,28234616
Iraq,9922564,9641831
Ireland,1609750,1588868
IsleofMan,28086,27718
Israel,2470518,2396071
Italy,19856629,20376263
Jamaica,924454,943350
Japan,38796944,38741599
Jersey,32961,32954
Jordan,1991281,1952401
Kazakhstan,5914456,6281217
Kenya,12407343,12415456
Kiribati,32682,34736
North Korea,8515417,8581718
South Korea,18342194,17555699
Kosovo,649847,591727
Kuwait,1215276,768260
Kyrgyzstan,1788006,1871410
Laos,2064514,2112996
Latvia,725315,759707
Lebanon,1382984,1458685
Lesotho,584645,613153
Liberia,1086693,1111755
Libya,2250704,2062641
Liechtenstein,12668,12801
Lithuania,1200196,1235300
Luxembourg,174261,173086
Macau,210564,238804
Macedonia,739565,722798
Madagascar,6495915,6517143
Malawi,4558784,4554304
Malaysia,10022041,9748637
Maldives,171245,122925
Mali,3839663,4293802
Malta,140540,135891
MarshallIslands,21691,20881
Mauritania,942612,1058943
Mauritius,466613,472669
Mexico,38235558,40469584
Micronesia,33678,34772
Moldova,1262850,1287750
Monaco,9000,8937
Mongolia,995978,1044424
Montenegro,239494,220484
Montserrat,1938,2040
Morocco,10793651,11281999
Mozambique,6084381,6691775
Namibia,715533,688556
Nauru,3069,3156
Nepal,9641931,10146367
Netherlands,5558960,5500066
NewCaledonia,91562,90327
NewZealand,1449473,1442871
Nicaragua,1856137,1995558
Niger,4142453,4167301
Nigeria,48577392,46589650
NorthernMarianaIslands,16724,19060
Norway,1733306,1648525
Oman,1204028,931702
Pakistan,63202417,59137013
Palau,8462,6885
Panama,1183362,1156252
PapuaNewGuinea,2051780,1951691
Paraguay,2264515,2243411
Peru,9681398,10176049
Philippines,33330715,33213754
Poland,13450886,13564652
Portugal,3557985,3525275
PuertoRico,1129944,1222038
Qatar,1491815,348144
Romania,7600897,7623135
Russia,48166470,52088967
Rwanda,3406051,3429946
SaintBarthelemy,2681,2262
SaintHelena,2716,2683
SaintKittsandNevis,18410,18022
SaintLucia,54053,57530
SaintMartin,10013,10934
SaintPierreandMiquelon,1899,1865
SaintVincentandtheGrenadines,36341,34227
Samoa,62054,58325
SanMarino,10331,11018
SaoTomeandPrincipe,50327,51595
SaudiArabia,10593113,8336848
Senegal,3506875,3944605
Serbia,2456875,2446583
Seychelles,34529,31278
SierraLeone,1498959,1623932
Singapore,2132708,2215984
SintMaarten,14573,15337
Slovakia,1937881,1944692
Slovenia,687846,678153
SolomonIslands,185744,178399
Somalia,2857429,2741275
SouthAfrica,15928422,15740225
SouthSudan,3031844,2994316
Spain,16190795,15764087
SriLanka,7122591,7432063
Sudan,9908347,9929894
