Afghanistan,6793832,6579388
Albania,307275,274634
Algeria,5641148,5378207
AmericanSamoa,6671,6917
Andorra,6708,6379
Angola,4206929,4043618
Anguilla,1918,1826
AntiguaandBarbuda,11289,10932
Argentina,5486989,5233968
Armenia,299097,286189
Aruba,9852,9797
Australia,2075316,1969645
Austria,573146,546596
Azerbaijan,1176438,1017926
The Bahamas,37962,36857
Bahrain,131698,127663
Bangladesh,27268560,26468883
Barbados,26709,26716
Belarus,759285,717118
Belgium,830980,797624
Belize,61480,59000
Benin,2269896,2179026
Bermuda,6165,6031
Bhutan,102196,97923
Bolivia,1805121,1737794
BosniaandHerzegovina,272812,256152
Botswana,361717,348150
Brazil,24534129,23606332
Brunei,52753,49548
Bulgaria,505025,479899
BurkinaFaso,4173236,4156245
Burma,7498179,7209588
Burundi,2385571,2361367
CaboVerde,82942,82069
Cambodia,2460659,2423619
Cameroon,5001984,4927122
Canada,2764691,2628413
CaymanIslands,5093,5022
CentralAfricanRepublic,1077247,1064660
Chad,2588424,2515935
Chile,1834247,1760315
China,124340516,107287324
Colombia,5998645,5720229
Comoros,157996,159088
Congo(Brazzaville),966852,950411
Congo(Kinshasa),16810549,16552685
CookIslands,1224,1084
CostaRica,570311,545026
Coted'Ivoire,4427193,4353342
Croatia,332079,314842
Cuba,923602,873156
Curacao,15298,14688
Cyprus,94437,89174
CzechRepublic,812503,769849
Denmark,485115,460682
Djibouti,133786,133163
Dominica,8300,7939
DominicanRepublic,1474170,1423573
Ecuador,2275448,2184706
Egypt,14272494,13639550
ElSalvador,882185,837646
EquatorialGuinea,149597,144788
Eritrea,1307550,1293867
Estonia,101018,95204
Ethiopia,21376243,21308454
FaroeIslands,5251,4877
Fiji,130013,124423
Finland,423011,408664
France,6337877,6053185
FrenchPolynesia,34182,32276
Gabon,353863,350456
The Gambia",374353,371488
GazaStrip,402848,381155
Georgia,459334,410494
Germany,5386525,5107336
Ghana,4988823,4943451
Gibraltar,3009,2862
Greece,781151,735444
Greenland,6287,6099
Grenada,13954,13057
Guam,21520,20279
Guatemala,2698238,2597026
Guernsey,4967,4629
Guinea,2437142,2387105
Guinea-Bissau,336053,337270
Guyana,108703,104793
Haiti,1701559,1693236
Honduras,1529578,1465188
HongKong,456638,402462
Hungary,757868,712908
Iceland,31660,30720
India,187016401,165048695
Indonesia,33854520,32648568
Iran,9834866,9350017
Iraq,6093069,5878590
Ireland,529140,506857
IsleofMan,7457,6721
Israel,1084748,1035525
Italy,4340943,4154547
Jamaica,423855,409651
Japan,8681728,8132809
Jersey,8001,7456
Jordan,1157124,1092028
Kazakhstan,2247628,2254744
Kenya,9494983,9435795
Kiribati,16779,16151
North Korea,2709580,2628456
South Korea,3603943,3328634
Kosovo,253876,234810
Kuwait,363001,334851
Kyrgyzstan,854029,815300
Laos,1195364,1173520
Latvia,156851,150074
Lebanon,460971,439257
Lesotho,321017,318265
Liberia,891002,876655
Libya,859016,820643
Liechtenstein,3130,2744
Lithuania,243001,230674
Luxembourg,47968,45100
Macau,44350,40272
Macedonia,191682,178510
Madagascar,4765523,4685298
Malawi,3838160,3822303
Malaysia,4456033,4206727
Maldives,42154,40490
Mali,3931818,3899535
Malta,32021,30432
MarshallIslands,13244,12741
Mauritania,697156,691548
Mauritius,143064,137021
Mexico,17188577,16423421
Micronesia,17120,16561
Moldova,326968,306948
Monaco,1828,1742
Mongolia,404051,388546
Montenegro,48231,50659
Montserrat,472,445
Morocco,4479676,4342605
Mozambique,5627116,5566260
Namibia,352368,345593
Nauru,1359,1720
Nepal,4989268,4805381
Netherlands,1460234,1393766
NewCaledonia,32311,30926
NewZealand,450985,429184
Nicaragua,873545,839853
Niger,4387785,4308312
Nigeria,39151304,37353737
NorthernMarianaIslands,6944,6393
Norway,480176,456128
Oman,501352,476333
Pakistan,33595949,31797766
Palau,2239,2101
Panama,504710,484166
PapuaNewGuinea,1165911,1125104
Paraguay,892315,861915
Peru,4184330,4040096
Philippines,18493668,17753359
Poland,2876264,2716569
Portugal,893902,821062
PuertoRico,335142,319765
Qatar,134477,130640
Romania,1628220,1541914
Russia,11980138,11344818
Rwanda,2617472,2575429
SaintBarthelemy,664,631
SaintHelena,669,643
SaintKittsandNevis,5520,5518
SaintLucia,17814,16809
SaintMartin,4179,4216
SaintPierreandMiquelon,481,450
SaintVincentandtheGrenadines,11858,11661
Samoa,33842,31749
SanMarino,2779,2445
SaoTomeandPrincipe,42170,40750
SaudiArabia,3869961,3681616
Senegal,2908431,2880258
Serbia,549469,515988
Seychelles,9808,9320
SierraLeone,1198553,1208775
Singapore,381452,364050
SintMaarten,3965,3634
Slovakia,435362,415792
Slovenia,137407,129111
SolomonIslands,113744,107193
Somalia,2293746,2298442
SouthAfrica,6859518,6815185
SouthSudan,2699556,2593241
Spain,3791781,3575157
SriLanka,2758360,2648073
Sudan,7356059,7131497
Suriname,76565,73676
Swaziland,261715,255949
Sweden,847611,800213
Switzerland,627952,591528
Syria,3851496,3660180
Taiwan,1683381,1575789
Tajikistan,1352150,1304615
Tanzania,11173655,10962186
Thailand,6117993,5827981
Timor-Leste,261794,247486
Togo,1499011,1490513
Tonga,19272,18661
TrinidadandTobago,121386,116661
Tunisia,1298262,1219086
Turkey,10660110,10179850
Turkmenistan,691076,673310
TurksandCaicosIslands,5536,5332
Tuvalu,1636,1553
Uganda,8714354,8765900
Ukraine,3191247,3013575
UnitedArabEmirates,597476,570275
UnitedKingdom,5660891,5380448
UnitedStates,31580349,30221106
Uruguay,356851,344576
Uzbekistan,3693838,3514734
Vanuatu,50810,48753
Venezuela,4143840,3985489
Vietnam,11946656,10800602
British VirginIslands,2770,2861
U.S. VirginIslands,9386,9207
WallisandFutuna,1902,1741
WestBank,472480,448078
WesternSahara,106868,104574
Yemen,5523744,5336795
Zambia,3393388,3362850
Zimbabwe,2670642,2615440
